title,url,urltag,watchFor
"Search, shower","https://www.youtube.com/results?search_query=long+shower",search-1,20s
"Home","https://www.youtube.com/",home-1,10s
"Search, bath","https://www.youtube.com/results?search_query=bathtub",search-2,15s
"Home","https://www.youtube.com/",home-2,10s
"Video, bath","https://www.youtube.com/watch?v=oFYm5h9w0kM",video-1,2m
"Home","https://www.youtube.com/",home-3,10s
"Channel def","https://www.youtube.com/channel/UCg7mcZKjupbLdsuiMBVTuDw",channel-1,20s
"Channel videos","https://www.youtube.com/channel/UCg7mcZKjupbLdsuiMBVTuDw/videos/",channel-2,20s
"Home","https://www.youtube.com/",home-4,10s
